2026-04-29 14:16:06 WAT LOG:  le système de bases de données a été interrompu ; dernier lancement connu à 2026-04-29 02:22:08 WAT
2026-04-29 14:16:07 WAT LOG:  le système de bases de données n'a pas été arrêté proprement ; restauration
	automatique en cours
2026-04-29 14:16:07 WAT LOG:  la ré-exécution commence à 0/3970740
2026-04-29 14:16:07 WAT LOG:  longueur invalide de l'enregistrement à 0/3970848 : attendait au moins 24, a eu 0
2026-04-29 14:16:07 WAT LOG:  rejeu exécuté à 0/3970810 utilisation système : CPU : utilisateur : 0.00 s, système : 0.00 s, temps passé : 0.00 s
2026-04-29 14:16:07 WAT LOG:  début du checkpoint : end-of-recovery immediate wait
2026-04-29 14:16:07 WAT LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 2 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.002 s, total=0.008 s; sync files=3, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/3970848, redo lsn=0/3970848
2026-04-29 14:31:07 WAT LOG:  début du checkpoint : time
2026-04-29 14:31:08 WAT LOG:  checkpoint complete: wrote 1 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.108 s, sync=0.007 s, total=0.135 s; sync files=1, longest=0.007 s, average=0.007 s; distance=8 kB, estimate=8 kB; lsn=0/39729D8, redo lsn=0/3972980
2026-04-29 14:41:07 WAT LOG:  début du checkpoint : time
2026-04-29 14:41:12 WAT LOG:  checkpoint complete: wrote 50 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.519 s, sync=0.022 s, total=5.551 s; sync files=35, longest=0.003 s, average=0.001 s; distance=127 kB, estimate=127 kB; lsn=0/39927D0, redo lsn=0/3992740
2026-04-29 14:51:07 WAT LOG:  début du checkpoint : time
2026-04-29 14:51:10 WAT LOG:  checkpoint complete: wrote 22 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.432 s, sync=0.014 s, total=2.456 s; sync files=23, longest=0.002 s, average=0.001 s; distance=54 kB, estimate=120 kB; lsn=0/39A00A0, redo lsn=0/39A0048
2026-04-29 17:06:20 WAT LOG:  début du checkpoint : time
