2026-05-17 20:02:58 WAT LOG:  début du checkpoint : time
2026-05-17 20:02:59 WAT LOG:  checkpoint complete: wrote 10 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.078 s, sync=0.008 s, total=1.106 s; sync files=10, longest=0.002 s, average=0.001 s; distance=41 kB, estimate=271 kB; lsn=0/DD2FD68, redo lsn=0/DD2FD10
2026-05-17 21:02:58 WAT LOG:  début du checkpoint : time
2026-05-17 21:02:59 WAT LOG:  checkpoint complete: wrote 13 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.378 s, sync=0.033 s, total=1.433 s; sync files=17, longest=0.009 s, average=0.002 s; distance=74 kB, estimate=251 kB; lsn=0/DD42578, redo lsn=0/DD42520
2026-05-17 21:07:58 WAT LOG:  début du checkpoint : time
2026-05-17 21:07:59 WAT LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.444 s, sync=0.005 s, total=0.457 s; sync files=5, longest=0.002 s, average=0.001 s; distance=21 kB, estimate=228 kB; lsn=0/DD47D28, redo lsn=0/DD47CD0
2026-05-17 23:04:57 WAT LOG:  n'a pas pu recevoir les donnÃ©es du client : An existing connection was forcibly closed by the remote host.
	
2026-05-17 23:05:20 WAT LOG:  n'a pas pu recevoir les donnÃ©es du client : An existing connection was forcibly closed by the remote host.
	
2026-05-17 23:06:52 WAT LOG:  n'a pas pu recevoir les donnÃ©es du client : An existing connection was forcibly closed by the remote host.
	
2026-05-17 23:07:58 WAT LOG:  début du checkpoint : time
2026-05-17 23:09:12 WAT LOG:  checkpoint complete: wrote 683 buffers (4.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=73.905 s, sync=0.017 s, total=73.935 s; sync files=48, longest=0.003 s, average=0.001 s; distance=11690 kB, estimate=11690 kB; lsn=0/E8F4B70, redo lsn=0/E8B27F8
2026-05-17 23:12:58 WAT LOG:  début du checkpoint : time
2026-05-17 23:14:24 WAT LOG:  checkpoint complete: wrote 806 buffers (4.9%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=85.807 s, sync=0.024 s, total=85.840 s; sync files=65, longest=0.003 s, average=0.001 s; distance=6756 kB, estimate=11197 kB; lsn=0/EF6CCA8, redo lsn=0/EF4BAF8
2026-05-17 23:17:58 WAT LOG:  début du checkpoint : time
2026-05-17 23:18:01 WAT LOG:  checkpoint complete: wrote 26 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.813 s, sync=0.007 s, total=2.829 s; sync files=14, longest=0.003 s, average=0.001 s; distance=165 kB, estimate=10094 kB; lsn=0/EF75008, redo lsn=0/EF74FB0
2026-05-17 23:22:58 WAT LOG:  début du checkpoint : time
2026-05-17 23:23:00 WAT LOG:  checkpoint complete: wrote 19 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.997 s, sync=0.012 s, total=2.020 s; sync files=13, longest=0.003 s, average=0.001 s; distance=122 kB, estimate=9096 kB; lsn=0/EF939C8, redo lsn=0/EF93970
2026-05-17 23:27:58 WAT LOG:  début du checkpoint : time
2026-05-17 23:28:00 WAT LOG:  checkpoint complete: wrote 20 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.177 s, sync=0.009 s, total=2.195 s; sync files=13, longest=0.003 s, average=0.001 s; distance=132 kB, estimate=8200 kB; lsn=0/EFB4AF8, redo lsn=0/EFB4AA0
2026-05-17 23:32:58 WAT LOG:  début du checkpoint : time
2026-05-17 23:33:00 WAT LOG:  checkpoint complete: wrote 20 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.184 s, sync=0.007 s, total=2.199 s; sync files=13, longest=0.003 s, average=0.001 s; distance=130 kB, estimate=7393 kB; lsn=0/EFD55A8, redo lsn=0/EFD5518
2026-05-17 23:37:58 WAT LOG:  début du checkpoint : time
2026-05-17 23:38:00 WAT LOG:  checkpoint complete: wrote 23 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.510 s, sync=0.007 s, total=2.532 s; sync files=13, longest=0.003 s, average=0.001 s; distance=144 kB, estimate=6668 kB; lsn=0/EFF98E0, redo lsn=0/EFF9850
2026-05-17 23:42:58 WAT LOG:  début du checkpoint : time
2026-05-17 23:43:00 WAT LOG:  checkpoint complete: wrote 12 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=1.295 s, sync=0.008 s, total=1.316 s; sync files=13, longest=0.003 s, average=0.001 s; distance=75 kB, estimate=6009 kB; lsn=0/F00C580, redo lsn=0/F00C528
